日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/05/05	540 南投市  	FK5 甜椒 青椒 	25.0 	17.0 	12.0 	16.1 	 +  9	114 	 - 23	1835.4
111/05/05	540 南投市  	FN2 敏豆 青豆 	110.0 	38.0 	2.0 	37.3 	 + 39	140 	 +  3	5219.2
111/05/05	540 南投市  	LA1 甘藍 初秋 	32.0 	27.0 	20.0 	26.2 	 -  2	977 	 +  4	25548.55
111/05/05	540 南投市  	OX1 其他  	61.0 	24.0 	3.0 	22.4 	 - 11	"2,045 "	 + 19	45767.1
111/05/05	540 南投市  	SG1 大蒜 硬梗 	7.0 	5.0 	3.0 	4.4 	 - 77	187 	 + 29	820.93
111/05/05	540 南投市  	SQ3 茭白筍 去殼 	270.0 	160.0 	75.0 	159.7 	 - 11	45 	 - 12	7187.85
111/05/06	540 南投市  	FB2 花椰菜 白梗 	65.0 	36.0 	26.0 	35.2 	 +  1	407 	 -  6	14334.54
111/05/06	540 南投市  	FC1 胡瓜 黑刺 	13.0 	8.0 	5.5 	7.9 	  -  	151 	  -  	1186.86
111/05/06	540 南投市  	FD1 花胡瓜  	30.0 	16.0 	7.0 	15.4 	 - 45	403 	 + 24	6214.26
111/05/06	540 南投市  	FF1 絲瓜  	35.0 	32.0 	22.0 	31.2 	 -  3	194 	 + 47	6048.92
111/05/06	540 南投市  	FG1 苦瓜 白大米 	31.0 	23.0 	2.0 	21.9 	 + 15	224 	 - 46	4912.32
111/05/06	540 南投市  	FI2 茄子 麻荸茄 	28.0 	21.0 	6.0 	20.8 	 + 59	154 	 - 58	3204.74
111/05/06	540 南投市  	FJ3 番茄 牛番茄 	52.0 	37.0 	20.0 	36.1 	 +  2	356 	 + 40	12840.92
111/05/06	540 南投市  	LA1 甘藍 初秋 	31.0 	27.0 	23.0 	25.9 	 -  1	892 	 -  9	23093.88
111/05/06	540 南投市  	OX1 其他  	60.0 	29.0 	5.0 	27.1 	 + 21	"2,275 "	 + 11	61652.5
111/05/06	540 南投市  	SQ3 茭白筍 去殼 	270.0 	217.0 	75.0 	215.1 	 + 35	41 	 -  9	8819.92
111/05/07	540 南投市  	FB2 花椰菜 白梗 	65.0 	34.0 	12.0 	33.8 	 -  4	493 	 + 21	16683.12
111/05/07	540 南投市  	FC1 胡瓜 黑刺 	13.0 	8.0 	3.0 	7.6 	 -  3	394 	 +161	3006.22
111/05/07	540 南投市  	FD1 花胡瓜  	30.0 	17.0 	4.0 	16.5 	 +  7	441 	 +  9	7294.14
111/05/07	540 南投市  	FF1 絲瓜  	35.0 	27.0 	15.0 	26.3 	 - 16	386 	 + 99	10167.24
111/05/07	540 南投市  	FG1 苦瓜 白大米 	36.0 	22.0 	6.0 	21.7 	 -  1	255 	 + 14	5533.5
111/05/07	540 南投市  	FI2 茄子 麻荸茄 	31.0 	24.0 	12.0 	23.0 	 + 11	368 	 +139	8475.04
111/05/07	540 南投市  	FJ3 番茄 牛番茄 	55.0 	47.0 	30.0 	46.3 	 + 28	246 	 - 31	11384.88
111/05/07	540 南投市  	FK5 甜椒 青椒 	41.0 	17.0 	5.0 	16.1 	  -  	246 	  -  	3953.22
111/05/07	540 南投市  	FN2 敏豆 青豆 	110.0 	58.0 	6.0 	57.3 	  -  	79 	  -  	4526.7
111/05/07	540 南投市  	LA1 甘藍 初秋 	31.0 	24.0 	20.0 	23.2 	 - 10	"1,091 "	 + 22	25354.84
111/05/07	540 南投市  	LB1 小白菜 土白菜 	19.0 	17.0 	13.0 	16.5 	  -  	57 	  -  	939.36
111/05/07	540 南投市  	OX1 其他  	50.0 	26.0 	4.0 	24.8 	 -  9	"2,389 "	 +  5	59151.64
111/05/07	540 南投市  	SQ3 茭白筍 去殼 	270.0 	210.0 	65.0 	206.4 	 -  4	61 	 + 49	12592.23
111/05/08	540 南投市  	FB2 花椰菜 白梗 	65.0 	37.0 	20.0 	36.0 	 +  6	456 	 -  8	16393.2
111/05/08	540 南投市  	FC1 胡瓜 黑刺 	15.0 	9.0 	3.0 	8.7 	 + 14	442 	 + 12	3854.24
111/05/08	540 南投市  	FD1 花胡瓜  	35.0 	19.0 	3.0 	18.6 	 + 13	311 	 - 29	5797.04
111/05/08	540 南投市  	FF1 絲瓜  	34.0 	26.0 	7.0 	25.1 	 -  5	384 	 -  1	9619.2
