日　　期	市　　場	產　　品	最高價	上價	中價	下價	平均價	增減%	交易量	增減%	殘貨量	
112/04/07	514 彰化市場	FC608 大菊 白乒乓	84 	84 	57 	30 	57.0 	  -  	40 	  -  	0 	2280
112/04/07	514 彰化市場	FC609 大菊 白東洋	68 	62 	38 	16 	38.0 	 - 22	"3,251 "	 +147	25 	123538
112/04/07	514 彰化市場	FC800 大菊 染色大菊	109 	101 	62 	31 	64.0 	 + 33	558 	 +104	0 	35712
112/04/07	514 彰化市場	FC801 染大菊 國王	85 	85 	78 	60 	76.0 	 -  8	80 	 - 20	0 	6080
112/04/07	514 彰化市場	FC802 染大菊 芭迪卡	101 	101 	95 	67 	91.0 	 + 21	295 	 + 13	0 	26845
112/04/07	514 彰化市場	FC805 染大菊 白東洋	43 	43 	26 	16 	28.0 	 - 33	712 	 +105	0 	19936
112/04/07	514 彰化市場	FC807 染大菊 梅西	82 	82 	80 	80 	81.0 	  -  	72 	  -  	0 	5832
112/04/07	514 彰化市場	FD001 小菊 混合色	43 	43 	35 	25 	35.0 	 -  3	244 	 +  7	25 	8540
112/04/07	514 彰化市場	FD100 小菊 紅	29 	29 	24 	21 	24.0 	 - 59	166 	 + 84	0 	3984
112/04/07	514 彰化市場	FD113 小菊 日本小紅	68 	68 	42 	28 	45.0 	 + 13	332 	 -  3	0 	14940
112/04/07	514 彰化市場	FD124 小菊 龍鳳紫	17 	17 	17 	17 	17.0 	 - 73	40 	 - 47	0 	680
112/04/07	514 彰化市場	FD125 小菊 大一點紅	69 	69 	45 	23 	45.0 	 - 49	54 	 +315	64 	2430
112/04/07	514 彰化市場	FD128 小菊 老虎紅	55 	55 	54 	53 	54.0 	 + 74	82 	 + 91	0 	4428
112/04/07	514 彰化市場	FD136 小菊 法國小紅	72 	67 	49 	22 	47.0 	 - 29	"1,006 "	 + 74	0 	47282
112/04/07	514 彰化市場	FD137 小菊 小老虎紅	37 	37 	24 	19 	26.0 	 - 16	98 	 + 11	0 	2548
112/04/07	514 彰化市場	FD150 小菊 紅風車	64 	64 	55 	25 	51.0 	  -  	133 	  -  	0 	6783
112/04/07	514 彰化市場	FD200 小菊 金	63 	58 	41 	22 	41.0 	 + 14	283 	 - 19	0 	11603
112/04/07	514 彰化市場	FD300 小菊 黃	52 	49 	30 	18 	31.0 	 - 28	486 	 -  6	0 	15066
112/04/07	514 彰化市場	FD304 小菊 聖誕球	44 	44 	42 	26 	39.0 	 +  8	100 	 +  1	0 	3900
112/04/07	514 彰化市場	FD326 小菊 蒙那麗莎陽光黃	0 	0 	0 	0 	0.0 	 -100	0 	 -100	50 	0
112/04/07	514 彰化市場	FD350 小菊 黃風車	62 	47 	29 	15 	30.0 	 - 12	496 	 + 68	0 	14880
112/04/07	514 彰化市場	FD400 小菊 粉	49 	49 	40 	28 	40.0 	 - 18	231 	 - 34	0 	9240
112/04/07	514 彰化市場	FD453 小菊 棒棒糖-粉	46 	46 	40 	19 	37.0 	 - 10	249 	 +  4	0 	9213
112/04/07	514 彰化市場	FD457 小菊 西維亞粉	100 	98 	80 	51 	78.0 	 - 11	"1,201 "	 + 96	0 	93678
112/04/07	514 彰化市場	FD500 小菊 綠	33 	33 	33 	33 	33.0 	 - 39	40 	 - 50	0 	1320
112/04/07	514 彰化市場	FD600 小菊 白	88 	80 	61 	33 	59.0 	 -  5	"1,387 "	 + 76	0 	81833
112/04/07	514 彰化市場	FD657 小菊 西維亞白	72 	72 	72 	72 	72.0 	  -  	20 	  -  	0 	1440
112/04/07	514 彰化市場	FD802 染小菊 白鑽石	65 	64 	54 	24 	50.0 	 -  7	"1,133 "	 + 44	0 	56650
112/04/07	514 彰化市場	FE001 非洲菊 混合色	52 	45 	36 	28 	36.0 	 + 20	"1,800 "	 + 41	0 	64800
112/04/07	514 彰化市場	FE111 非洲菊 上海紅	24 	24 	21 	15 	21.0 	 - 30	540 	    0	0 	11340
112/04/07	514 彰化市場	FE113 非洲菊 萊星頓	24 	24 	22 	22 	23.0 	  -  	90 	  -  	0 	2070
112/04/07	514 彰化市場	FE201 非洲菊 太陽神	35 	35 	33 	30 	33.0 	 +  6	120 	 - 14	0 	3960
112/04/07	514 彰化市場	FE205 非洲菊 哈利熊	30 	29 	19 	15 	20.0 	 - 29	240 	 + 14	0 	4800
112/04/07	514 彰化市場	FE302 非洲菊 金爵	26 	26 	24 	16 	23.0 	 -  4	270 	    0	0 	6210
112/04/07	514 彰化市場	FE400 非洲菊 粉	29 	29 	29 	29 	29.0 	 - 12	20 	 - 58	0 	580
112/04/07	514 彰化市場	FE401 非洲菊 伊斯瑪拉	35 	35 	31 	27 	31.0 	 -  9	90 	    0	0 	2790
112/04/07	514 彰化市場	FE415 非洲菊 粉美麗	33 	33 	33 	33 	33.0 	  -  	20 	  -  	0 	660
112/04/07	514 彰化市場	FE416 非洲菊 熱情粉	43 	42 	33 	22 	33.0 	    0	"1,170 "	 + 86	0 	38610
112/04/07	514 彰化市場	FE600 非洲菊 白	50 	50 	43 	28 	41.0 	  -  	50 	  -  	0 	2050
112/04/07	514 彰化市場	FE605 非洲菊 冰山	40 	40 	32 	31 	33.0 	 - 21	150 	 +400	0 	4950
