日　　期	市　　場	產　　品	上價	中價	下價	平均價(元/公斤)	增減%	交易量(公斤)	增減%	
111/04/01	800 高雄市	R8 芒果 芒果青 	50.0 	50.0 	50.0 	50.0 	    0	66 	 + 22	3300
111/04/01	800 高雄市	S1 葡萄 巨峰 	144.1 	96.2 	80.0 	102.6 	 +  2	"1,555 "	 -  6	159543
111/04/01	800 高雄市	S9 葡萄 進口 	161.9 	114.1 	91.2 	119.1 	 -  2	"2,474 "	 + 65	294653.4
111/04/01	800 高雄市	T1 西瓜 大西瓜 	30.0 	23.5 	15.0 	23.1 	 + 43	"6,680 "	 - 24	154308
111/04/01	800 高雄市	T5 西瓜 黃肉 	25.0 	17.7 	15.0 	18.6 	 + 12	"1,600 "	 - 57	29760
111/04/01	800 高雄市	W1 洋香瓜 網狀紅肉 	81.8 	50.0 	40.0 	54.4 	 +  3	"3,918 "	 -  8	213139.2
111/04/01	800 高雄市	W6 洋香瓜 光面綠肉 	50.0 	36.1 	25.0 	36.7 	 -  7	720 	 - 22	26424
111/04/01	800 高雄市	W7 洋香瓜 光面白肉 	70.0 	65.8 	60.0 	65.5 	 + 18	880 	    0	57640
111/04/01	800 高雄市	X69 蘋果 富士進口 	159.6 	71.6 	57.2 	86.3 	 -  2	"12,194 "	 + 41	1052342.2
111/04/01	800 高雄市	Y0 桃子 其他 	40.0 	40.0 	40.0 	40.0 	  -  	12 	  -  	480
111/04/01	800 高雄市	Y39 桃子 甜桃進口 	120.4 	81.5 	70.0 	87.0 	 - 18	"1,470 "	 + 73	127890
111/04/02	800 高雄市	22 棗子  	150.0 	123.9 	100.0 	124.4 	 - 17	234 	 - 53	29109.6
111/04/02	800 高雄市	31 釋迦  	110.0 	98.5 	90.0 	99.1 	 -  1	264 	 + 10	26162.4
111/04/02	800 高雄市	32 釋迦 鳳梨釋迦 	70.0 	48.7 	30.0 	49.2 	 + 13	600 	 + 28	29520
111/04/02	800 高雄市	41 梅  	86.3 	56.2 	46.5 	60.3 	 -  8	"1,732 "	 -  0	104439.6
111/04/02	800 高雄市	45 草莓  	200.0 	101.7 	50.0 	111.0 	  -  	118 	  -  	13098
111/04/02	800 高雄市	459 草莓 進口 	800.0 	800.0 	800.0 	800.0 	    0	18 	 + 80	14400
111/04/02	800 高雄市	51 百香果 改良種 	90.0 	90.0 	90.0 	90.0 	 + 57	96 	 - 30	8640
111/04/02	800 高雄市	70 小番茄 其他 	80.0 	59.7 	40.0 	59.8 	 -  6	996 	 -  4	59560.8
111/04/02	800 高雄市	72 小番茄 聖女 	60.4 	49.0 	31.9 	47.9 	 - 24	960 	 +357	45984
111/04/02	800 高雄市	74 小番茄 玉女 	200.0 	85.9 	80.0 	107.6 	 - 28	144 	 - 48	15494.4
111/04/02	800 高雄市	812 火龍果 紅肉 	150.0 	133.5 	120.0 	134.1 	 - 12	162 	 - 60	21724.2
111/04/02	800 高雄市	829 蜜棗 進口 	120.0 	120.0 	120.0 	120.0 	 + 16	120 	 - 66	14400
111/04/02	800 高雄市	88 樹葡萄  	50.0 	50.0 	50.0 	50.0 	    0	30 	 +233	1500
111/04/02	800 高雄市	91 其他  	20.0 	20.0 	20.0 	20.0 	    0	375 	 + 50	7500
111/04/02	800 高雄市	919 其他 進口 	66.7 	66.7 	66.7 	66.7 	 + 91	240 	    0	16008
111/04/02	800 高雄市	A1 香蕉  	80.0 	61.5 	50.0 	62.9 	 -  4	"1,950 "	 + 22	122655
111/04/02	800 高雄市	B2 鳳梨 金鑽鳳梨 	32.0 	24.7 	13.3 	23.9 	 + 18	"9,972 "	 + 10	238330.8
111/04/02	800 高雄市	C2 茂谷柑  	63.8 	31.9 	20.0 	35.9 	 + 14	"6,294 "	 +  4	225954.6
111/04/02	800 高雄市	D1 桶柑  	27.2 	19.7 	12.7 	19.8 	 -  3	"5,418 "	 - 22	107276.4
111/04/02	800 高雄市	E1 甜橙 柳橙 	35.0 	32.1 	30.0 	32.3 	 +  4	330 	 - 15	10659
111/04/02	800 高雄市	E9 甜橙 進口 	67.8 	60.1 	50.4 	59.7 	 +  3	"4,122 "	 + 33	246083.4
111/04/02	800 高雄市	F1 雜柑 檸檬 	70.0 	54.5 	50.0 	56.7 	 -  3	700 	 + 89	39690
111/04/02	800 高雄市	F4 雜柑 桔子 	130.0 	110.6 	100.0 	112.4 	 - 10	170 	 +240	19108
111/04/02	800 高雄市	G1 蛋黃果 仙桃 	20.0 	20.0 	20.0 	20.0 	  -  	162 	  -  	3240
111/04/02	800 高雄市	G2 黃金果  	100.0 	80.3 	75.0 	83.2 	 - 20	95 	 - 51	7904
111/04/02	800 高雄市	G39 酪梨 進口 	412.5 	412.5 	412.5 	412.5 	  -  	8 	  -  	3300
111/04/02	800 高雄市	G49 奇異果 進口 	134.5 	116.4 	110.0 	118.7 	 -  3	816 	 + 25	96859.2
111/04/02	800 高雄市	I1 木瓜 網室紅肉 	57.4 	41.2 	32.3 	42.7 	 +  2	"4,493 "	 - 40	191851.1
111/04/02	800 高雄市	I4 木瓜 青木瓜 	25.0 	25.0 	25.0 	25.0 	    0	900 	 - 40	22500
111/04/02	800 高雄市	L1 枇杷 茂木 	263.4 	194.3 	108.7 	191.0 	 + 12	851 	 + 47	162541
111/04/02	800 高雄市	M3 楊桃 馬來亞種 	30.0 	26.5 	25.0 	26.9 	  -  	576 	  -  	15494.4
111/04/02	800 高雄市	N9 李 進口 	110.0 	100.0 	90.0 	100.0 	 + 11	200 	 - 66	20000
111/04/02	800 高雄市	O9 梨 其他進口 	103.2 	100.0 	97.8 	100.2 	 -  7	465 	 +107	46593
111/04/02	800 高雄市	O99 梨 西洋梨進口 	100.0 	100.0 	100.0 	100.0 	  -  	60 	  -  	6000
111/04/02	800 高雄市	P1 番石榴 珍珠芭 	33.9 	23.4 	15.0 	23.8 	 + 19	"3,165 "	 +999	75327
111/04/02	800 高雄市	Q1 蓮霧 紅蓮霧 	133.0 	90.7 	49.3 	90.9 	 - 19	"1,194 "	 + 47	108534.6
111/04/02	800 高雄市	Q2 蓮霧 子彈型 	64.9 	40.9 	35.0 	44.5 	 + 20	"1,512 "	 - 21	67284
111/04/02	800 高雄市	R3 芒果 本島 	70.0 	70.0 	70.0 	70.0 	  -  	150 	  -  	10500
111/04/02	800 高雄市	R8 芒果 芒果青 	50.0 	50.0 	50.0 	50.0 	    0	60 	 -  9	3000
111/04/02	800 高雄市	S1 葡萄 巨峰 	149.2 	103.6 	75.8 	107.2 	 +  4	"1,492 "	 -  4	159942.4
111/04/02	800 高雄市	S9 葡萄 進口 	160.6 	118.3 	88.9 	120.9 	 +  2	"2,670 "	 +  8	322803
111/04/02	800 高雄市	T5 西瓜 黃肉 	18.2 	15.0 	15.0 	15.6 	 - 16	"1,422 "	 - 11	22183.2
111/04/02	800 高雄市	W1 洋香瓜 網狀紅肉 	69.3 	44.9 	40.0 	48.8 	 - 10	"2,680 "	 - 32	130784
111/04/02	800 高雄市	W6 洋香瓜 光面綠肉 	50.0 	38.9 	35.0 	40.4 	 + 10	"1,120 "	 + 56	45248
111/04/02	800 高雄市	W7 洋香瓜 光面白肉 	70.0 	62.6 	40.0 	59.6 	 -  9	575 	 - 35	34270
111/04/02	800 高雄市	W9 洋香瓜 進口 	70.0 	70.0 	70.0 	70.0 	  -  	50 	  -  	3500
111/04/02	800 高雄市	X69 蘋果 富士進口 	148.4 	69.2 	56.1 	82.4 	 -  5	"15,224 "	 + 25	1254457.6
